name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
耕圖詩拓本（四）冊,法帖,長9.5公分 寬5.3公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60736?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=992577&randomCode=345009259&maxW=200&maxH=200,故帖000280,故,帖,法帖
耕圖詩拓本（三）冊,法帖,長9.5公分 寬5.3公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60735?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=992558&randomCode=2021633407&maxW=200&maxH=200,故帖000279,故,帖,法帖
耕圖詩拓本（二）冊,法帖,長9.5公分 寬5.3公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60734?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=992539&randomCode=1993101562&maxW=200&maxH=200,故帖000278,故,帖,法帖
耕圖詩拓本（一）冊,法帖,長9.5公分 寬5.3公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60733?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=992519&randomCode=510840101&maxW=200&maxH=200,故帖000277,故,帖,法帖
璿璣仙藻拓本 冊,法帖,長20.6公分 寬9.8公分,清 乾隆,,https://digitalarchive.npm.gov.tw/Collection/Detail/60732?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=991574&randomCode=1600746665&maxW=200&maxH=200,故帖000276,故,帖,法帖
仿四體古帖 下冊,法帖,長4.5公分 寬2.7公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60731?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=624462&randomCode=1977020878&maxW=200&maxH=200,故帖000275,故,帖,法帖
仿四體古帖 上冊,法帖,長4.5公分 寬2.7公分,清,,https://digitalarchive.npm.gov.tw/Collection/Detail/60730?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=624448&randomCode=1761217279&maxW=200&maxH=200,故帖000274,故,帖,法帖
欽定天瓶齋法帖（戊）,法帖,29.2x17.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/36177?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1154881&randomCode=1752227528&maxW=200&maxH=200,贈帖00013000000,贈,帖,法帖
欽定天瓶齋法帖（丁）,法帖,29.2x17.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/36176?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1154871&randomCode=1946758328&maxW=200&maxH=200,贈帖00012900000,贈,帖,法帖
欽定天瓶齋法帖（丙）,法帖,29.2x17.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/36175?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1154854&randomCode=764165296&maxW=200&maxH=200,贈帖00012800000,贈,帖,法帖
欽定天瓶齋法帖（乙）,法帖,29.2x17.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/36174?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1154829&randomCode=1991370857&maxW=200&maxH=200,贈帖00012700000,贈,帖,法帖
欽定天瓶齋法帖（甲）,法帖,29.2x17.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/36173?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1154804&randomCode=628597004&maxW=200&maxH=200,贈帖00012600000,贈,帖,法帖
宋搨武岡帖（三） 冊 晉王羲之頭悶帖,法帖,,宋太宗淳化三年（992）,,https://digitalarchive.npm.gov.tw/Collection/Detail/36063?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=479266&randomCode=87606085885&maxW=200&maxH=200,故帖00005400033,故,帖,法帖
宋搨武岡帖（三） 冊 晉王羲之小園帖,法帖,,宋太宗淳化三年（992）,,https://digitalarchive.npm.gov.tw/Collection/Detail/36062?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=479266&randomCode=87606085885&maxW=200&maxH=200,故帖00005400032,故,帖,法帖
