name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
印度 馬用飾品,織品,縱56公分 橫48公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1651?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658909&randomCode=701741378&maxW=200&maxH=200,南購織000726,南購,織,織品
印度 新郎鏡繡包,織品,縱28公分 橫26公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1650?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=658906&randomCode=1120897415&maxW=200&maxH=200,南購織000725,南購,織,織品
土耳其 布料,織品,縱84公分 橫130公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1649?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1301674&randomCode=1046022336&maxW=200&maxH=200,南購織001188,南購,織,織品
土耳其 布料,織品,縱161公分 橫279公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1648?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1787257&randomCode=794427846&maxW=200&maxH=200,南購織001180,南購,織,織品
土耳其 布料,織品,縱158公分 橫298公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1647?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1787487&randomCode=419884338&maxW=200&maxH=200,南購織001179,南購,織,織品
伊朗 經文布,織品,縱40.5公分 橫55.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1646?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1306792&randomCode=1702422884&maxW=200&maxH=200,南購織000840,南購,織,織品
印度 布匹,織品,縱238公分 橫73公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1645?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=660263&randomCode=1001409807&maxW=200&maxH=200,南購織000838,南購,織,織品
印度 織金長衣,織品,縱168公分 橫128公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1644?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=657820&randomCode=1434747710&maxW=200&maxH=200,南購織000862,南購,織,織品
日本 藍染絣織,織品,縱68.5公分 橫34.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1643?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659773&randomCode=387891083&maxW=200&maxH=200,南購織000981,南購,織,織品
日本 藍染絣織,織品,縱62.5公分 橫32.5公分,,,https://digitalarchive.npm.gov.tw/Collection/Detail/1642?dep=X,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=659767&randomCode=664219782&maxW=200&maxH=200,南購織000979,南購,織,織品
