name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
清乾隆緙絲花卉掛屏（四） 軸,絲繡,121x29.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13856?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635809&randomCode=221892128&maxW=200&maxH=200,故絲00019200000,故,絲,絲繡
清乾隆緙絲花卉掛屏（三） 軸,絲繡,122.3x29.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13855?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635804&randomCode=1374222610&maxW=200&maxH=200,故絲00019100000,故,絲,絲繡
清乾隆緙絲花卉掛屏（二） 軸,絲繡,121.8x29.2,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13854?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635799&randomCode=842669898&maxW=200&maxH=200,故絲00019000000,故,絲,絲繡
清乾隆緙絲花卉掛屏（一） 軸,絲繡,122x29.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13853?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635794&randomCode=1081645114&maxW=200&maxH=200,故絲00018900000,故,絲,絲繡
清乾隆緙絲御製詩隸書七言聯（二） 軸,絲繡,154x32,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13852?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635793&randomCode=1268916868&maxW=200&maxH=200,故絲00018800000,故,絲,絲繡
清乾隆緙絲御製詩隸書七言聯（一） 軸,絲繡,154x32,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13851?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635792&randomCode=430604794&maxW=200&maxH=200,故絲00018700000,故,絲,絲繡
清乾隆緙絲歲朝圖（二） 軸,絲繡,63x43,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13850?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635788&randomCode=1507892084&maxW=200&maxH=200,故絲00018600000,故,絲,絲繡
清乾隆緙絲歲朝圖（一） 軸,絲繡,63x43,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13849?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635784&randomCode=580523065&maxW=200&maxH=200,故絲00018500000,故,絲,絲繡
清乾隆緙絲三星圖頌 軸,絲繡,138.8x54,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13848?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=436715&randomCode=27987234743&maxW=200&maxH=200,故絲00018400000,故,絲,絲繡
清乾隆御製戳紗宮燈小景 軸,絲繡,38.6x22.1,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13847?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635782&randomCode=1470538601&maxW=200&maxH=200,故絲00018300000,故,絲,絲繡
清乾隆御製戳紗宮燈小景 軸,絲繡,38.8x22,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13846?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635780&randomCode=468126390&maxW=200&maxH=200,故絲00018200000,故,絲,絲繡
清顧繡桂子天香圖 軸,絲繡,67.3ｘ34.9,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13845?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635778&randomCode=938985889&maxW=200&maxH=200,故絲00018100000,故,絲,絲繡
清乾隆繡雲山樓閣 軸,絲繡,146x35.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13844?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635772&randomCode=1365232859&maxW=200&maxH=200,故絲00018000000,故,絲,絲繡
清乾隆繡三星圖 軸,絲繡,151.5x68,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13843?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=436704&randomCode=49694902563&maxW=200&maxH=200,故絲00017900000,故,絲,絲繡
清乾隆粵繡仙童獻壽 軸,絲繡,111x38.6,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13842?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635767&randomCode=1791479829&maxW=200&maxH=200,故絲00017800000,故,絲,絲繡
清乾隆繡釋迦牟尼佛像 軸,絲繡,132.8x94,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13841?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635761&randomCode=1334970309&maxW=200&maxH=200,故絲00017700000,故,絲,絲繡
清露香園仿宋繡松鶴 軸,絲繡,63.2x91.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13840?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635756&randomCode=1342061242&maxW=200&maxH=200,故絲00017600000,故,絲,絲繡
清乾隆緙絲福字 軸,絲繡,147.7x85.1,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13839?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635751&randomCode=1955579966&maxW=200&maxH=200,故絲00017500000,故,絲,絲繡
清乾隆緙絲張得天七言聯（二） 軸,絲繡,99x23.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13838?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635749&randomCode=1730954729&maxW=200&maxH=200,故絲00017400000,故,絲,絲繡
清乾隆緙絲張得天七言聯（一） 軸,絲繡,99x23.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13837?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635747&randomCode=728542518&maxW=200&maxH=200,故絲00017300000,故,絲,絲繡
清乾隆緙絲博古花卉集錦 軸,絲繡,127.4x63.3,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13836?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635741&randomCode=1625648987&maxW=200&maxH=200,故絲00017200000,故,絲,絲繡
清乾隆緙絲天喜圖 軸,絲繡,100.5x42.4,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13835?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635737&randomCode=323568347&maxW=200&maxH=200,故絲00017100000,故,絲,絲繡
清乾隆緙絲花鳥宮屏 軸,絲繡,170.3x47.6,,白地設色織庭園一角。奇石上方，柏樹森森，藤枝攀繞，雙鳥一佇枝頭，一振羽而飛。下有綠竹、蜀葵、雛菊、靈芝。蜻蜓與蝴蝶穿飛其間。 本幅之色彩以青、綠、赭相配，於淡雅中，顯出活潑生氣。柏樹之樹皮皴紋，葉之苔點，均加添筆墨，以顯現其立體層次。,https://digitalarchive.npm.gov.tw/Collection/Detail/13834?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635732&randomCode=2014542474&maxW=200&maxH=200,故絲00017000000,故,絲,絲繡
清乾隆緙絲花鳥宮屏 軸,絲繡,171.3x47,,牡丹倚奇石盛開，雙蝶飛舞花間，雙鳥棲於柏枝上，是幅為花鳥宮屏軸之二，故形式、構圖、設色均與前幅相同，僅圖案略有差異。,https://digitalarchive.npm.gov.tw/Collection/Detail/13833?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635727&randomCode=831949442&maxW=200&maxH=200,故絲00016900000,故,絲,絲繡
明緙絲芝蘭並秀紈扇 軸,絲繡,28x27,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13832?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635725&randomCode=532281013&maxW=200&maxH=200,故絲00016800000,故,絲,絲繡
明緙絲桐封秋實團扇 軸,絲繡,27x28.5,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13831?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635723&randomCode=1258196412&maxW=200&maxH=200,故絲00016700000,故,絲,絲繡
清緙絲祝枝山草書 軸,絲繡,118.3x36,,,https://digitalarchive.npm.gov.tw/Collection/Detail/13830?dep=P,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=635721&randomCode=607156092&maxW=200&maxH=200,故絲00016600000,故,絲,絲繡
