name,category,size,era,desc,url,imageUrl_s,id,sk1,sk2,sk3
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14781?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102171&randomCode=83948055580&maxW=200&maxH=200,購錢005443,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14780?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102168&randomCode=27276627934&maxW=200&maxH=200,購錢005442,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14779?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102165&randomCode=84746967794&maxW=200&maxH=200,購錢005441,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14778?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102162&randomCode=54567684722&maxW=200&maxH=200,購錢005440,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14777?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102159&randomCode=40083111721&maxW=200&maxH=200,購錢005439,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14776?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102156&randomCode=48806441106&maxW=200&maxH=200,購錢005438,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14775?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102153&randomCode=42477696445&maxW=200&maxH=200,購錢005437,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14774?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102150&randomCode=60321025064&maxW=200&maxH=200,購錢005436,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14773?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102147&randomCode=28496959495&maxW=200&maxH=200,購錢005435,購,錢,錢幣
銅錢,錢幣,待測量,時代待訂,,https://digitalarchive.npm.gov.tw/Collection/Detail/14772?dep=U,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=102144&randomCode=90801117755&maxW=200&maxH=200,購錢005434,購,錢,錢幣
