AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,王正益,,,閒來無事不從容,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA2MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王北岳,,,王北岳(框小品),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA3MQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,吳松林,,,吳松林(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA3Mg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,施孟宏,,,施孟宏(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA3Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,施孟宏,,,施孟宏(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA3OA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,劉百鈞,,,劉百鈞(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA3OQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,劉百鈞,,,劉百鈞(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA4MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,潘錦夫,,,潘錦夫(軸全開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA4Mw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,金一如,,,金一如(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA4NA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,周金德,,,周金德(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA4NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,周金德,,,周金德(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA4Ng==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,高士魁,,,高士魁(軸全開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA5Mw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,張炳煌,,,張炳煌(軸全開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA5NA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王寶星,,,王寶星(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA5NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王寶星,,,王寶星(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA5Ng==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳維德,,,陳維德(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDA5Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳志聲,,,陳志聲(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEwMw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳志聲,,,陳志聲(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEwNA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王英雄,,,王英雄(軸全開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEwOQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,劉振興,,,劉振興(軸4開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDExMA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,丁錦泉,,,丁錦泉(軸4開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDExMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳和元,,,陳和元(軸全開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDExMg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,柯耀程,,,柯耀程(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDExNw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,張日廣,,,張日廣(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDExOA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,嚴明德,,,嚴明德(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDExOQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,黃志煌,,,黃志煌(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyMA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,許火竹,,,許火竹(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,張妙茹,,,張妙茹(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyMg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳義仁,,,陳義仁(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyNQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳豐澤,,,陳豐澤(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyNg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,盧銘琪,,,盧銘琪(軸對開),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyNw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,唐秉政,,,鴻原幾時到.江湖秋水多,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEyOQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王守仁,,,宏揚社教  唐秉政,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEzMQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,李超哉,,,李超哉對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEzNA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,李超哉,,,李超哉對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEzNQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,游昭明,,,游昭明正楷,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDEzNg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳祖貽,,,行書(陳祖貽),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE0Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,陳華傑,,,書法(4*8尺陳華傑),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE0OQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,藏真白,,,書法(3*6尺藏真白),https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,,,,龍騰華夏.虎躍神州,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1MQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,劉百鈞,,,草書  劉百鈞,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1Mg==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王廣慶,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1Mw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,張道藩,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1NA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,賈端儒,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,黃朝琴,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,李超哉,,,對聯,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1OA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,梅貽琦,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE1OQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,王靜芝,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2MA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,施秋谷,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2Mw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,傅狷夫,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2NA==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,魯蕩平,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2NQ==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,姚夢谷,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2Ng==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
,,連勝彥,,,,https://collections.culture.tw/Object.aspx?SYSUID=23&RNO=MjAwNzAxMDE2Nw==,國立彰化生活美學館,,藝術類\書法,藝術類,書法,彰化生活
