AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,,,,牡丹,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDI4,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,乾坤正氣,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDI5,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,雄風馬,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDMw,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,得利圖,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDMx,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,雙壽松鶯,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDMy,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,江邊雲樹依稀,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDMz,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,墨竹,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDM0,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,松柏長青‧山高水長,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDM1,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,春風滿園,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDM2,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,野趣,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDM3,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,仰之彌高,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDM4,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,天教放眼望河清,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDM5,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,承先啟後,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDQw,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,勁節蔚國光,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDQx,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,高節清風,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDQy,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
,,,,,山高水長,https://collections.culture.tw/Object.aspx?SYSUID=24&RNO=MjAxNDAxMDQz,國立新竹生活美學館,,藝術類\水墨畫,藝術類,水墨畫,新竹生活
