AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,客席指揮：古斯塔夫‧柯尼希,,,臺灣省交響樂團─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMwNjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：黃昆輝 團長：鄧漢錦 客席指揮：郁君昭 鋼琴獨奏：郁君貽,,,臺灣省交響樂團─音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMwOTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：李登輝 團長：鄧漢錦 客席指揮：張大勝 鋼琴獨奏：克勞斯教授(Prof D.Kraus),,,臺灣省基層藝術季─交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,,,,新加坡名口琴家─劉宏釗先生演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMDAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,,,,七十二年秋季藝術活動─陳宏寬鋼琴獨奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 客席指揮：古斯塔夫‧柯尼希 鋼琴獨奏：謝麗碧,,,臺灣省交響樂團─交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMTAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 指揮：李煜傳,,,七十二年秋季藝術活動─新加坡李煜傳弦樂團演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODMxMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 客席指揮：麥家樂 鋼琴獨奏：王美齡,,,交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODQwMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,獨奏：皮爾‧懷特(Pierre Feit)      劉廷宏       劉榮義,,,七十三年春季藝術活動─双簧管演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODQwNDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 客席指揮：古斯塔夫‧柯尼希(Gustav Konig) 雙簧管獨奏：皮爾‧懷特(Pierre Feit),,,交響樂團演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODQwNDAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：尼可拉斯‧羅特理(Dr. Nicholas Routley) 鋼琴獨奏：羅嶺寧,,,交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODQxMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：鄧漢錦 策劃：宋映喜 演出者：沈恩淑、金清淑、金麟完、南德順、林貞根、閔銀淑、卞福順、金恩子,,,韓國音樂家聯合音樂會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODUwMzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：密吉爾‧羅徹特(Michel Rochat) 鋼琴獨奏：金世黎博士(Dr. Colin Kingsley),,,交響樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODUxMDAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 演出人：林清江 策畫：鄧漢錦 指揮：M.Carraro 導演：王斯本 合唱：臺灣省交響樂團附設合唱團 特邀國內外傑出聲樂家： 陳麗嬋、G.Tosi、陳榮貴、詹國政、鄒森、湯慧茹、張榜奎、蔡政驊、宋茂生、林光伯,,,臺灣省春季藝術活動─三幕喜歌劇 假婚記,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5ODYwMTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
